sim_number,chemostat_id,distance_from_source
30,1,0
30,2,1
30,3,2
30,4,3
30,5,4
30,6,1
30,7,2
30,8,3
30,9,4
30,10,5
30,11,2
30,12,3
30,13,4
30,14,5
30,15,6
30,16,3
30,17,4
30,18,5
30,19,6
30,20,7
30,21,4
30,22,5
30,23,6
30,24,7
30,25,8
60,1,0
60,2,1
60,3,2
60,4,3
60,5,4
60,6,1
60,7,2
60,8,3
60,9,4
60,10,5
60,11,2
60,12,3
60,13,4
60,14,5
60,15,6
60,16,3
60,17,4
60,18,5
60,19,6
60,20,7
60,21,4
60,22,5
60,23,6
60,24,7
60,25,8
100,1,0
100,2,1
100,3,2
100,4,3
100,5,4
100,6,1
100,7,2
100,8,3
100,9,4
100,10,5
100,11,2
100,12,3
100,13,4
100,14,5
100,15,6
100,16,3
100,17,4
100,18,5
100,19,6
100,20,7
100,21,4
100,22,5
100,23,6
100,24,7
100,25,8
